right_team,left_team,cycle,mode,ball_x,ball_y,right_team_score,opp_player_0_unum,opp_player_0_x,opp_player_0_y,opp_player_0_kick,opp_player_0_shoot,opp_player_1_unum,opp_player_1_x,opp_player_1_y,opp_player_1_kick,opp_player_1_shoot,opp_player_2_unum,opp_player_2_x,opp_player_2_y,opp_player_2_kick,opp_player_2_shoot,opp_player_3_unum,opp_player_3_x,opp_player_3_y,opp_player_3_kick,opp_player_3_shoot,opp_player_4_unum,opp_player_4_x,opp_player_4_y,opp_player_4_kick,opp_player_4_shoot,opp_player_5_unum,opp_player_5_x,opp_player_5_y,opp_player_5_kick,opp_player_5_shoot
RoboCIn,ma,4377,play_on,-15.2694,31.6691,1,4,-14.2395,31.1291,0,0,2,1.91,15.9201,0,0,6,-10.7046,6.9647,0,0,7,-25.9671,6.7265,0,0,11,-28.5104,4.2277,0,0,3,1.9155,2.804,0,0
RoboCIn,ma,4378,play_on,-15.7853,32.0474,1,4,-14.8412,31.5621,0,0,2,1.8839,16.4745,0,0,6,-10.2599,7.6577,0,0,7,-25.4964,7.1521,0,0,11,-27.8763,4.9682,0,0,3,1.9235,2.8031,0,0
RoboCIn,ma,4379,play_on,-16.2667,32.3995,1,4,-15.4566,32.0941,0,0,2,1.819,17.2682,0,0,6,-10.084,7.918,0,0,7,-25.2426,7.4002,0,0,11,-27.5562,5.2812,0,0,3,1.9269,2.8028,0,0
RoboCIn,ma,4380,play_on,-16.7176,32.7107,1,4,-16.0897,32.5917,1,0,2,1.7737,17.5962,0,0,6,-10.007,8.012,0,0,7,-25.1009,7.5552,0,0,11,-27.3802,5.6196,0,0,9,-31.2544,0.9277,0,0
RoboCIn,ma,4381,play_on,-16.7139,33.4257,1,4,-16.3333,32.7864,1,0,2,1.7603,17.7383,0,0,6,-9.7782,8.368,0,0,7,-24.9895,7.6919,0,0,11,-27.247,6.007,0,0,9,-30.9224,0.8975,0,0
RoboCIn,ma,4382,play_on,-15.9822,33.7816,1,4,-16.3234,32.7791,0,0,2,1.7543,17.8013,0,0,6,-9.4759,8.8016,0,0,7,-24.8725,7.8059,0,0,11,-27.1331,6.4243,0,0,3,1.9291,2.8027,0,0
RoboCIn,ma,4383,kick_in_r,-15.3049,34.0,1,4,-16.3194,32.7765,0,0,2,1.7498,17.8282,0,0,6,-9.164,9.2904,0,0,7,-24.7545,7.9072,0,0,11,-27.0184,6.8373,0,0,3,1.9292,2.8026,0,0
RoboCIn,ma,4384,kick_in_r,-15.3049,34.0,1,4,-16.3179,32.7757,0,0,2,1.7476,17.8399,0,0,6,-9.0344,9.4756,0,0,7,-24.7135,7.948,0,0,11,-26.9706,7.0231,0,0,3,1.9293,2.8026,0,0
RoboCIn,ma,4385,kick_in_r,-15.3049,34.0,1,4,-16.2521,32.9538,0,0,2,1.3293,18.2057,0,0,6,-9.3281,9.9805,0,0,7,-24.5851,8.4607,0,0,11,-27.3863,7.4727,0,0,3,1.4398,2.9907,0,0
RoboCIn,ma,4386,kick_in_r,-15.3049,34.0,1,4,-16.1421,33.1913,0,0,2,0.7492,18.6953,0,0,6,-9.7595,10.6109,0,0,7,-24.4615,9.1369,0,0,11,-28.0457,8.0062,0,0,3,1.2084,3.065,0,0
RoboCIn,ma,4387,kick_in_r,-15.3049,34.0,1,4,-16.0389,33.464,0,0,2,0.0801,19.2738,0,0,6,-10.2745,11.2715,0,0,7,-24.2951,9.8395,0,0,11,-28.8552,8.6549,0,0,9,-30.9023,2.8978,0,0
RoboCIn,ma,4388,kick_in_r,-15.3049,34.0,1,4,-15.9446,33.7379,0,0,2,-0.6794,19.9627,0,0,6,-10.8268,11.8869,0,0,7,-24.1318,10.6015,0,0,11,-29.6459,9.2869,0,0,9,-31.2539,3.7409,0,0
RoboCIn,ma,4389,kick_in_r,-15.3049,34.0,1,4,-15.8531,34.0352,0,0,2,-1.4854,20.6121,0,0,6,-11.3184,12.5254,0,0,7,-23.9435,11.3743,0,0,11,-30.4715,9.9305,0,0,9,-31.5776,4.5971,0,0
RoboCIn,ma,4390,kick_in_r,-15.3049,34.0,1,4,-15.7663,34.2998,0,0,2,-2.2604,21.2555,0,0,6,-11.8861,13.2015,0,0,7,-23.7684,12.149,0,0,11,-31.241,10.6008,0,0,9,-31.8731,5.441,0,0
RoboCIn,ma,4391,kick_in_r,-15.3049,34.0,1,4,-15.6769,34.5737,0,0,2,-3.015,21.8134,0,0,6,-12.4123,13.9025,0,0,7,-23.5424,12.9641,0,0,11,-32.0515,11.2416,0,0,9,-32.251,6.267,0,0
